title,description,difficulty,category,topic,examples,constraints,time_complexity,space_complexity
Two Sum,Find two numbers that add up to a target.,Easy,Arrays & Hashing,Array,"[{""input"": ""nums=[2,7,11,15], target=9"", ""output"": ""[0,1]""}]",2 <= nums.length <= 10^4,O(n),O(n)
Valid Anagram,Check if two strings use the same characters.,Easy,Arrays & Hashing,String,"[{""input"": ""s=""anagram"", t=""nagaram"" "", ""output"": ""true""}]",1 <= s.length <= 5*10^4,O(n),O(1)
Binary Search,Find a target in a sorted array.,Easy,Binary Search,Binary Search,"[{""input"": ""nums=[-1,0,3,9,12], target=9"", ""output"": ""4""}]",1 <= nums.length <= 10^4,O(log n),O(1)
Reverse Linked List,Reverse a singly linked list.,Easy,Linked List,Linked List,"[{""input"": ""head=[1,2,3]"", ""output"": ""[3,2,1]""}]",0 <= nodes <= 5000,O(n),O(1)
Invert Binary Tree,Flip a binary tree horizontally.,Easy,Trees,Binary Tree,"[{""input"": ""root=[4,2,7]"", ""output"": ""[4,7,2]""}]",0 <= nodes <= 100,O(n),O(h)
Group Anagrams,Group strings that are anagrams of each other.,Medium,Arrays & Hashing,String,"[{""input"": ""strs=[""eat"",""tea"",""tan""]"", ""output"": ""[[""eat"",""tea""],[""tan""]]""}]",1 <= strs.length <= 10^4,O(n*k),O(n*k)
Top K Frequent Elements,Find the k most frequent elements in an array.,Medium,Arrays & Hashing,Heap,"[{""input"": ""nums=[1,1,1,2,2,3], k=2"", ""output"": ""[1,2]""}]",1 <= nums.length <= 10^5,O(n),O(n)
Longest Consecutive Sequence,Find length of longest consecutive elements.,Medium,Arrays & Hashing,Set,"[{""input"": ""nums=[100,4,200,1,3,2]"", ""output"": ""4""}]",0 <= nums.length <= 10^5,O(n),O(n)
3Sum,Find all unique triplets that sum to zero.,Medium,Two Pointers,Array,"[{""input"": ""nums=[-1,0,1,2,-1,-4]"", ""output"": ""[[-1,-1,2],[-1,0,1]]""}]",3 <= nums.length <= 3000,O(n^2),O(1)
Container With Most Water,Find two lines that trap the most water.,Medium,Two Pointers,Array,"[{""input"": ""height=[1,8,6,2,5,4,8,3,7]"", ""output"": ""49""}]",2 <= n <= 10^5,O(n),O(1)
Longest Substring Without Repeating Characters,Find the longest unique substring.,Medium,Sliding Window,String,"[{""input"": ""s=""abcabcbb"" "", ""output"": ""3""}]",0 <= s.length <= 5*10^4,O(n),"O(min(m,n)) "
Search a 2D Matrix,Search for a value in an m x n matrix.,Medium,Binary Search,Matrix,"[{""input"": ""matrix=[[1,3,5]], target=3"", ""output"": ""true""}]","m, n >= 1",O(log(m*n)),O(1)
